source_reference,year,average_price_usd,average_price_brl,bags,avg_price_usd,avg_price_brl,bags_received,bags_shipped,avg_price_physical,avg_price_futures,category,region,rank,ranking_category,position,bags_exported,bags_handled,ingestion_timestamp,content_hash,bags_acquired,bags_physical_market,average_price_physical_market,bags_futures_market,average_price_futures_market,bags_direct_export,bags_exporting_clients,bags_domestic_market,bags_transferred_to_roastery
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,Net Revenue Growth,6.0000,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,Net Margin,6.0000,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,Return on Equity,7.0000,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,Southeast Region Ranking,21.0000,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,500 Largest Agribusiness Companies,34.0000,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,Valor 1000,129.0000,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,,,,,,,,,,,,,,,980819.0000,3834356.0000,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2024,243.0700,1307.8200,8325303.0000,,,,,,,,,,,,,,2026-05-23T22:28:32.984000,1bec2c802187da098248e57b1151bdc0032abe2103a4cc407a77b86e2c0b9fe9,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2023,184.1800,920.4900,5702348.0000,,,,,,,,,,,,,,2026-05-23T22:28:32.984000,31bfab1ca5ed5504a42c6cba626f530f80e54d1afdc4e038d05592089cd9744d,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2019,114.2600,457.6900,8644344.0000,,,,,,,,,,,,,,2026-05-23T22:28:32.984000,4c93005d3c64a9f73f2544975a1ff0d7aeef935250332624eddca89f6b124cff,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2021,168.4200,907.0100,5318286.0000,,,,,,,,,,,,,,2026-05-23T22:28:32.984000,555efac86f0596660fccbf9cf7db7798b78e19467088f80f7b4ad0123794aca6,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2018,122.0800,443.0200,6575798.0000,,,,,,,,,,,,,,2026-05-23T22:28:32.984000,70a6f3adba9937b2a6fe15b7f63df1a52e931d02970f4bdfcd77779050973672,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2022,247.9200,1289.3500,3626093.0000,,,,,,,,,,,,,,2026-05-23T22:28:32.984000,9265ae6df3c5961bf81f6572f968dc03cbfd38a7f3da025f394482f7ac5fa4ae,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2020,108.3700,559.3100,6310962.0000,,,,,,,,,,,,,,2026-05-23T22:28:32.984000,965e4f38bf371446329473397d5fc4419c884df40a0571e80751dc1683b4782c,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2017,145.0700,463.7400,3971214.0000,,,,,,,,,,,,,,2026-05-23T22:28:32.984000,976e40f9ffc4e10ea867a043db0cac1162672850b0d0b6d24d27c0658da88ddd,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,Average,180.1200,867.1200,5927430.0000,,,,,,,,,,,,,,2026-05-23T22:28:32.984000,a37b56526e73802f59304f74ef60709b5789504a3045056c2e3f5b5bb9492081,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2016,148.4700,514.6300,6037517.0000,,,,,,,,,,,,,,2026-05-23T22:28:32.984000,e8c905d46089ea79ee460ea112109304f79df9a3a5d93466d842cadb055370a6,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,2025,390.7600,2186.6200,4762434.0000,,,,,,,,,,,,,,2026-05-23T22:28:32.984000,ed4620354f07956af2cecc959a79b59daa3b7ea1e2082e3b0f5b913ce23f5bf2,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,390.7600,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,247.9200,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,243.0700,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,184.1800,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,180.1200,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,168.4200,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,148.4700,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,145.0700,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,122.0800,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,114.2600,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,108.3700,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,2186.6200,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,1307.8200,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,1289.3500,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,920.4900,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,907.0100,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,867.1200,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,559.3100,,,,,,,,,,,,,,,,,,,,,,,,,
