source_reference,producers_awarded,total_bonus_usd,total_bonus_brl,total_employees,total_raw_coffee_processed,total_coffee_produced,year,yield_outlook,ranking_category,avg_position,total_bags_exported,total_bags_handled,producer,location,prize_amount,total_bags_shipped,avg_price_physical,avg_price_futures,total_investment,category,best_rank,region,ingestion_timestamp,content_hash,total_total_bonus_usd,number_of_employees,raw_coffee_processed,coffee_produced,bags_received,bags_acquired,bags_physical_market,average_price_physical_market,bags_futures_market,average_price_futures_market,bags_shipped,bags_direct_export,bags_exporting_clients,bags_domestic_market,bags_transferred_to_roastery,rank,total_rank
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,Paulo José Sotero,Monte Belo/MG,7000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,2025,,,,,,,,,6078227.0000,2221.36,2043.62,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,2025,,,,,,,,,,,,105200000.0000,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,Food - Ground Coffee,4.0000,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,,,,,,,,,,,,,,,4.0000,"Minas Gerais, Espírito Santo, interior of Rio de Janeiro, Greater Rio de Janeiro",,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,36087.2200,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,108,36087.2200,198846.0100,,,,2025,,,,,,,,,,,,,,,,2026-05-23T22:28:32.933000,c34ca7a6e1bb5fe463215da8bd7810248265655505389f297e0b778da0618072,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,36087.2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,198846.0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cooxupe.com.br/wp-content/uploads/2026/04/ENG_relatorio-web_revisado_completo_compressed.pdf,,,,,,,2025,,,,,,,,,,,,,,,,,,36087.2200,,,,,,,,,,,,,,,,
